"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1979888657797718297","Sun Oct 19 23:59:53 +0000 2025","0","@gayungLove_17 Maafin udah bikin Kak Bagus badmodd :( Gas infoin Nomor internet dan atas nama ke DM yuk biar dibantu cek serta privasi terjaga. Makasih -Sakia","1980061373217542347","","gayungLove_17","in","","0","0","0","https://x.com/undefined/status/1980061373217542347","1075673058931806208",
"1979890046808518731","Sun Oct 19 23:59:37 +0000 2025","0","@addiwick Duuuh maafin jadi enggak nyaman ya Kak @addiwick udah dipastikan optimum devicenya engga melebihi yang disarankan di paket Kakak kan? Infoin nomor internet dan atas namanya ke DM yuk biar di bantu cek koneksinya. Makasih Vioni","1980061303852122450","","addiwick","in","","0","1","0","https://x.com/undefined/status/1980061303852122450","1075673058931806208",
"1980055177039356212","Sun Oct 19 23:58:18 +0000 2025","0","@lostinpocket Siap Kak. Pau cek DM kakak udah masuk dalam antrian ya. Mohon ditunggu balasannya-Pau","1980060975362674988","","lostinpocket","in","","0","0","0","https://x.com/undefined/status/1980060975362674988","1075673058931806208",
"1979901213991645198","Sun Oct 19 23:56:46 +0000 2025","0","@dearmoment95 Maaf banget ya Kak @dearmoment95 Pau cek belum ada DM terbaru dari kakak nih yuk konfirmasi lagi pastiin DM kakak terkirim ya-Pau","1980060587897000150","","dearmoment95","in","","0","1","0","https://x.com/undefined/status/1980060587897000150","1075673058931806208",
"1979896322456232202","Sun Oct 19 23:54:57 +0000 2025","0","@youknowiamaple Siap Kak @youknowiamaple Pau cek DM kakak udah dibalas ya jika masih berkendala kakak bisa konfirmasi kembali lewat DM-Pau","1980060128650178679","","youknowiamaple","in","","0","0","0","https://x.com/undefined/status/1980060128650178679","1075673058931806208",
"1979893109615100121","Sun Oct 19 23:53:30 +0000 2025","0","@77jaehyunnie Siap Kak @77jaehyunnie ‍️ Vioni cek di DM sudah ada tiket pelaporannya bisa konfirmasiin lagi di DM biar dibantu follow up yap :) -Vioni","1980059766128070832","","77jaehyunnie","in","","0","0","0","https://x.com/undefined/status/1980059766128070832","1075673058931806208",
"1979857962777940180","Sun Oct 19 23:53:18 +0000 2025","0","@RifkyAisya @RifkyAisya Kak Oliph maaf ya. Pastiin kabel Patch cord udah terpasang dgn kencang. Tunggu respon selanjutnya di DM ya biar dibantu cek lebih lanjut ya. Makasih -Sakia","1980059717302202777","","RifkyAisya","in","","0","1","0","https://x.com/undefined/status/1980059717302202777","1075673058931806208",
"1980037575206388007","Sun Oct 19 23:50:00 +0000 2025","0","@sservanda Mohon maaf jadi ga nyaman ya Kak Mahens Pau cek DM kakak udah dibalas rekan Pau ya dan udah terdapat pelaporan terkait kendalanya Pau saranin juga kakak untuk hapus mention ini untuk menghindari penyalahgunaan data kakak oleh pihak yang ga bertangung jawab-Pau","1980058885735272678","","sservanda","in","","0","0","0","https://x.com/undefined/status/1980058885735272678","1075673058931806208",
"1979902588163342448","Sun Oct 19 23:49:56 +0000 2025","0","@reuflo_ Mohon maaf banget ya Kak @reuflo_ Pastikan jarak device dengan modemnya engga terlalu jauh dan engga terhalang beton ya Kak. Kirim nomor internet dan atas namanya ke DM yuk biar di bantu cek koneksinya. Makasih :) -Vioni","1980058868618236284","","reuflo_","in","","0","0","0","https://x.com/undefined/status/1980058868618236284","1075673058931806208",
"1980058737839939898","Sun Oct 19 23:49:25 +0000 2025","0","Hotspot itu darurat bukan gaya hidup. Mau stabil? Daftar IndiHome sekarang. Biaya daftar &amp; paket bulanan jelas (tanpa kira-kira) cocok buat WFH/gamer/UMKM. Chat WA resmi 0813-14300-585. Rincian &amp; form: https://t.co/mcHmu8XWnz Follow @indihome_web_id","1980058737839939898","","","in","","0","0","0","https://x.com/undefined/status/1980058737839939898","1330130989922791424",
